x,y,label
20.20977816,67.5166421,Boomer
21.0379689,49.82929965,Gen X
24.44345283,54.47365512,Gen X
24.63083013,53.3957389,Gen X
27.10624293,54.71955315,Gen X
27.2451932,29.81950745,Millennial
27.54823445,75.16475905,Boomer
27.88771936,75.44557599,Boomer
28.08961766,60.51221255,Gen X
29.29278311,59.79199693,Gen X
30.08079929,27.58802552,Millennial
30.12333182,81.14429533,Boomer
30.40431434,29.07953992,Millennial
31.03291744,28.92814189,Millennial
31.13573492,61.43191271,Gen X
31.33324409,32.53856948,Millennial
31.91551999,79.79041349,Boomer
32.19209695,60.20065091,Gen X
33.16775703,31.24774117,Millennial
33.39479873,35.01680131,Millennial
33.98063397,35.03305815,Millennial
34.25061176,34.44158657,Millennial
36.16346644,33.8193142,Millennial
36.46588202,35.52418761,Millennial
36.61972206,36.81141411,Millennial
37.58007157,38.8315722,Millennial
37.70083752,68.41840528,Gen X
37.79143238,66.85464103,Gen X
40.16381574,87.44867235,Boomer
41.2902998,42.31155241,Millennial
41.53039785,13.39629075,Gen Z
41.5789294,90.30356654,Boomer
42.41501229,11.6937811,Gen Z
42.53480844,10.16986846,Gen Z
42.64498293,40.15432164,Millennial
42.65225098,90.56063973,Boomer
43.28671292,43.05686032,Millennial
43.3926884,43.59759407,Millennial
43.827709,71.04705221,Millennial
43.85638148,94.08587177,Boomer
44.60997591,93.07583503,Boomer
44.75958744,41.97460661,Millennial
45.34265319,13.90881239,Gen Z
46.01811902,46.25772337,Millennial
46.26474134,94.11619216,Boomer
46.71451799,15.61327447,Gen Z
47.22502527,44.57564662,Millennial
47.44211164,98.18430186,Boomer
47.69520089,95.24118693,Boomer
47.8499077,48.55662465,Millennial
48.392363,50.33152856,Millennial
48.45061765,16.21227822,Gen Z
48.83398913,17.72595587,Gen Z
49.04095664,77.36258327,Gen X
49.07012675,48.89694468,Millennial
49.17741856,96.61053245,Boomer
49.89959207,19.56408354,Gen Z
50.19895895,52.22502959,Millennial
50.44418532,78.19588831,Gen X
50.75974105,18.0893946,Gen Z
51.14118357,20.61832378,Gen Z
51.26239748,49.66650513,Millennial
51.30882526,80.13639116,Gen X
51.43393552,99.25686729,Boomer
51.60062413,50.03246689,Millennial
51.88688802,80.11360769,Gen X
52.26856168,52.8052402,Millennial
52.85831502,20.235061,Gen Z
53.51297054,5.875109528,Gen A
53.52995267,24.24191558,Gen Z
54.13319546,83.79399608,Gen X
54.38949526,53.81190123,Millennial
54.81179837,6.569648703,Gen A
54.85566465,83.78339767,Gen X
55.04412336,83.54141063,Gen X
55.24129699,52.59357463,Millennial
55.48205636,22.82746624,Gen Z
55.56386503,85.81037514,Gen X
55.58987734,26.29924511,Gen Z
55.76158737,54.03051724,Millennial
55.90591623,54.25267253,Millennial
56.59436464,8.917344045,Gen A
57.83280627,9.222384623,Gen A
57.96898144,85.35604573,Gen X
58.32313965,60.03105916,Millennial
58.41638401,5.645777483,Gen A
58.93476506,9.369201219,Gen A
59.02507708,28.32208588,Gen Z
59.24380953,10.54014209,Gen A
59.63261012,7.058037199,Gen A
59.71600776,11.51909686,Gen A
60.33758649,63.03495933,Millennial
60.60027647,59.75330888,Millennial
60.68362604,10.63264156,Gen A
60.74938919,28.05173634,Gen Z
61.12039438,88.70405291,Gen X
61.26968209,29.38572405,Gen Z
61.58684243,11.02758584,Gen A
61.61856825,13.41082272,Gen A
61.65872333,64.10002348,Millennial
62.42377859,33.48659529,Gen Z
63.57293938,32.93861761,Gen A
63.7231835,14.5214212,Gen A
63.76027502,61.18564117,Millennial
63.92103671,15.62096103,Gen A
63.98634689,32.71343161,Gen A
64.65523056,16.61227651,Gen A
65.00594317,15.91266865,Gen A
65.15070528,92.50263374,Gen X
65.5834277,93.51706094,Gen X
65.67639603,35.10931543,Gen Z
65.77666516,16.78765607,Gen A
66.43132432,36.53610974,Millennial
67.46413981,95.99996391,Gen X
68.41276712,19.91312654,Gen A
68.49251322,17.98736343,Gen A
68.63828071,18.5080129,Gen A
68.85102158,39.57343427,Gen Z
69.28897314,99.57959113,Gen X
70.17145753,70.28222124,Millennial
71.13412634,19.38595753,Gen A
71.54503899,72.65771633,Millennial
72.4366575,20.57834511,Gen A
72.62220941,74.52696565,Millennial
73.00149407,24.07381254,Gen A
74.1867735,74.34420415,Millennial
75.14151959,73.81966846,Millennial
75.16866784,73.90044488,Millennial
77.74688511,47.37182411,Gen Z
78.57574484,76.81570309,Millennial
80.35293412,47.80029889,Gen Z
81.26944055,80.63594493,Millennial
84.0905076,56.30196801,Gen Z
85.32420289,55.38857883,Gen A
85.8191629,37.57138618,Gen A
86.25622382,55.83093038,Gen A
86.40154985,38.74693317,Gen A
90.34263451,37.7803861,Gen A
90.44181811,40.13311342,Gen A
92.01755908,39.91793113,Gen A
92.54879332,42.90190791,Gen A
95.26052784,46.00883027,Gen A
